ID	ROAD_NODE_ID	ROAD_NODE_NAME	ROAD_NODE_KM	ROAD_DIRECTION	longitude	latitude	SDE_ID	cell_id	length
0	4549	朱口枢纽	309009.8438	2	117.2751005	26.97252861	1D6EEFDD1BB34218BC315CA97B5956E3	10761	0.850472
0	3733	朱口枢纽	307937.5938	1	117.2749223	26.96290045	063E92950D7741619E6DDC363130583E	10761	0.568516
0	4942	朱口枢纽	307000.5625	2	117.281156	26.95683709	B34C7CE80BBB4E148BDE65D1FF72BAF8	10761	1.30388
0	4550	朱口枢纽	306964.0313	1	117.2815374	26.95684941	88D49B2BA06043608BDD16C939D22681	10761	1.341754
1	5495	万安出入口立交桥	289770.2188	2	117.4267356	26.88649772	BA7A4394D2204E73BC7AAB23CBE3FA06	30271	0.963903
1	5407	万安出入口立交桥	289513.0938	1	117.4275121	26.88429121	951FAD1FCBBB40E48B5E35F165F45E6C	30271	1.220593
1	4834	万安出入口立交桥	289333.5313	2	117.4277966	26.88267334	3EFA2ACC5D4C49F2A3CC01B0A03EE287	30271	1.372221
1	4005	万安出入口立交桥	288969	1	117.4288957	26.87954249	3FBB4D419D11497CAB6482D7CB290D67	30271	1.697572
2	5411	将乐服务区导流线	272771.3125	2	117.5165743	26.76926963	BAA4C69D4FE548B682B65AF3BC6A9DB6	44071	0.562922
2	5251	将乐服务区导流线	272760.1875	1	117.5167344	26.76934728	150162A936704B45A170F524A186753C	44071	0.574623
2	5307	将乐服务区导流线	272245	1	117.5213728	26.76727035	A33292EA3BC24BF09663EBF91632F005	44071	1.107205
2	4621	将乐服务区导流线	272209.2188	2	117.5216375	26.76700487	E1FD2FFCBCB04128BD0F2D7E366B7A6A	44071	1.146723
3	4015	将乐、玉华洞出入口立交桥	266450.7188	2	117.5175278	26.72153193	100F39084EF242238B2E685C88F556AA	12332	3.688458
3	4014	将乐、玉华洞出入口立交桥	266110.9688	1	117.5164161	26.71858617	EE637527702F4613ADBF8597C708F47B	12332	4.021515
