1	6401	24736	1	119.22619	25.48806			
1	6402	24736	1	119.22619	25.48806			
1	6403	24736	1	119.22619	25.48806			
1	6472	24683	1	117.40597	23.95056			
1	6531	24651	1	119.08606	25.39403			
1	6533	24651	1	119.08606	25.39403			
1	6551	24683	1	117.38299	23.85604			
1	6552	24683	1	117.38299	23.85604			
1	6591	22996	1	119.5560278	26.50969444			
1	6592	22996	1	119.5560278	26.50969444			
1	6593	22996	1	119.5560278	26.50969444			
1	6594	22996	1	119.556028	26.509694			
1	6595	22996	1	119.556028	26.509694			
1	6596	22996	1	119.556028	26.509694			
1	6631	23004	1	119.4920833	26.06241667			
1	6632	23004	1	119.4920833	26.06241667			
1	6662	24801	1	118.145481	24.680611			
1	6663	24801	1	118.145481	24.680611			
8	6701	23017	1	117.27204	24.8331			
8	6702	23017	1	117.27204	24.8331			
1	6711	22962	1	118.8652131	25.2111361			
8	6711	22858	1	118.61025	25.33021			
8	6712	22858	1	118.61025	25.33021			
1	6713	22962	1	118.8652131	25.2111361			
1	6812	24651	1	119.06806	25.38464			
1	6813	24651	1	119.06806	25.38464			
8	6851	24719	1	117.516667	24.637333			
8	6853	24719	1	117.516667	24.637333			
8	6861	24719	1	117.612	24.599			
8	6862	24719	1	117.612	24.599			
8	6863	24719	1	117.612	24.599			
1	6981	22954	1	119.4993889	26.31305556			
7	6981	22979	1	118.3330002	25.2031002			
1	6982	22954	1	119.4993889	26.31305556			
1	6983	22954	1	119.4993889	26.31305556			
7	6983	22979	1	118.3330002	25.2031002			
1	6991	22954	1	119.4766944	26.39566667			
1	6992	22954	1	119.4766944	26.39566667			
1	6993	22954	1	119.4766944	26.39566667			
9	7041	22811	1	119.15877	26.12948			
9	7042	22811	1	119.15877	26.12948			
1	7053	24979	1	118.88309	25.25941			
1	7081	24979	1	118.93229	25.28347			
6	7081	22805	1	119.0466944	26.16808333			
1	7083	24979	1	118.93229	25.28347			
8	7151	23017	1	117.26127	24.84386			
8	7171	23017	1	117.4101	24.7151			
8	7172	23017	1	117.4101	24.7151			
8	7181	23017	1	117.24694	24.85783			
8	7182	23017	1	117.24694	24.85783			
